,train,val,test
0,normal_134,patient_051_node_3,patient_066_node_1
1,normal_078,normal_029,patient_023_node_1
2,normal_003,normal_102,normal_045
3,normal_016,patient_000_node_2,test_022
4,normal_026,patient_096_node_1,patient_095_node_1
5,normal_150,normal_020,normal_070
6,normal_073,normal_052,test_009
7,normal_114,normal_132,patient_082_node_2
8,normal_018,test_060,normal_061
9,normal_148,patient_030_node_1,patient_085_node_2
10,normal_125,normal_067,patient_089_node_0
11,normal_119,patient_075_node_2,patient_098_node_2
12,normal_152,normal_054,patient_074_node_0
13,normal_137,normal_048,normal_106
14,normal_157,normal_122,normal_133
15,normal_038,normal_005,normal_077
16,normal_034,patient_048_node_2,normal_093
17,normal_075,patient_040_node_1,patient_013_node_1
18,normal_156,patient_030_node_2,patient_033_node_0
19,normal_042,patient_079_node_3,patient_057_node_0
20,normal_056,patient_006_node_1,patient_084_node_4
21,normal_090,patient_049_node_0,test_127
22,normal_035,patient_036_node_0,test_044
23,normal_044,patient_082_node_1,normal_135
24,normal_092,test_123,patient_048_node_3
25,normal_017,test_007,patient_005_node_0
26,normal_118,test_083,patient_044_node_0
27,normal_049,normal_149,patient_055_node_2
28,normal_037,patient_016_node_3,patient_003_node_3
29,normal_108,patient_065_node_1,normal_131
30,normal_129,patient_072_node_3,normal_082
31,normal_019,patient_079_node_2,patient_037_node_3
32,normal_138,normal_008,patient_077_node_0
33,normal_136,patient_071_node_4,patient_011_node_1
34,normal_030,normal_127,normal_046
35,normal_105,patient_095_node_2,patient_079_node_0
36,normal_130,test_085,patient_093_node_1
37,normal_060,normal_047,patient_060_node_2
38,test_003,patient_076_node_0,test_120
39,test_005,patient_036_node_1,patient_008_node_1
40,test_006,patient_022_node_2,patient_091_node_1
41,test_015,normal_072,normal_023
42,test_023,patient_002_node_4,normal_153
43,test_024,normal_032,patient_040_node_4
44,test_025,patient_011_node_3,normal_089
45,test_031,normal_107,patient_015_node_3
46,test_035,normal_096,patient_050_node_1
47,test_041,patient_083_node_1,patient_055_node_1
48,test_042,patient_071_node_3,normal_113
49,test_043,test_050,patient_054_node_4
50,test_047,normal_002,normal_007
51,test_054,normal_121,patient_083_node_2
