,train,val,test
normal_134,True,False,False
normal_078,True,False,False
normal_003,True,False,False
normal_016,True,False,False
normal_026,True,False,False
normal_150,True,False,False
normal_073,True,False,False
normal_114,True,False,False
normal_018,True,False,False
normal_148,True,False,False
normal_125,True,False,False
normal_119,True,False,False
normal_152,True,False,False
normal_137,True,False,False
normal_157,True,False,False
normal_038,True,False,False
normal_034,True,False,False
normal_075,True,False,False
normal_156,True,False,False
normal_042,True,False,False
normal_056,True,False,False
normal_090,True,False,False
normal_035,True,False,False
normal_044,True,False,False
normal_092,True,False,False
normal_017,True,False,False
normal_118,True,False,False
normal_049,True,False,False
normal_037,True,False,False
normal_108,True,False,False
normal_129,True,False,False
normal_019,True,False,False
normal_138,True,False,False
normal_136,True,False,False
normal_030,True,False,False
normal_105,True,False,False
normal_130,True,False,False
normal_060,True,False,False
test_003,True,False,False
test_005,True,False,False
test_006,True,False,False
test_015,True,False,False
test_023,True,False,False
test_024,True,False,False
test_025,True,False,False
test_031,True,False,False
test_035,True,False,False
test_041,True,False,False
test_042,True,False,False
test_043,True,False,False
test_047,True,False,False
test_054,True,False,False
test_055,True,False,False
test_058,True,False,False
test_059,True,False,False
test_063,True,False,False
test_067,True,False,False
test_072,True,False,False
test_076,True,False,False
test_078,True,False,False
normal_081,True,False,False
test_087,True,False,False
test_088,True,False,False
test_089,True,False,False
test_091,True,False,False
test_096,True,False,False
test_107,True,False,False
test_109,True,False,False
test_112,True,False,False
test_115,True,False,False
test_119,True,False,False
test_124,True,False,False
test_126,True,False,False
test_128,True,False,False
test_129,True,False,False
patient_000_node_0,True,False,False
patient_000_node_1,True,False,False
patient_001_node_1,True,False,False
patient_001_node_2,True,False,False
patient_001_node_3,True,False,False
patient_001_node_4,True,False,False
patient_002_node_0,True,False,False
patient_002_node_1,True,False,False
patient_002_node_2,True,False,False
patient_002_node_3,True,False,False
patient_004_node_1,True,False,False
patient_004_node_3,True,False,False
patient_005_node_1,True,False,False
patient_005_node_2,True,False,False
patient_006_node_3,True,False,False
patient_007_node_0,True,False,False
patient_007_node_1,True,False,False
patient_007_node_2,True,False,False
patient_007_node_3,True,False,False
normal_012,True,False,False
patient_008_node_3,True,False,False
patient_009_node_2,True,False,False
patient_009_node_3,True,False,False
patient_012_node_1,True,False,False
patient_012_node_2,True,False,False
normal_141,True,False,False
patient_015_node_0,True,False,False
patient_016_node_4,True,False,False
patient_017_node_0,True,False,False
patient_019_node_4,True,False,False
patient_021_node_2,True,False,False
patient_023_node_0,True,False,False
patient_024_node_0,True,False,False
patient_024_node_3,True,False,False
patient_025_node_0,True,False,False
patient_025_node_1,True,False,False
patient_025_node_3,True,False,False
patient_025_node_4,True,False,False
patient_027_node_1,True,False,False
patient_027_node_3,True,False,False
patient_028_node_4,True,False,False
patient_030_node_3,True,False,False
patient_031_node_0,True,False,False
patient_031_node_1,True,False,False
patient_032_node_0,True,False,False
patient_032_node_2,True,False,False
patient_032_node_3,True,False,False
patient_032_node_4,True,False,False
patient_033_node_4,True,False,False
patient_034_node_0,True,False,False
patient_034_node_1,True,False,False
patient_035_node_0,True,False,False
patient_035_node_1,True,False,False
normal_028,True,False,False
patient_036_node_2,True,False,False
patient_036_node_4,True,False,False
patient_039_node_2,True,False,False
patient_039_node_3,True,False,False
normal_076,True,False,False
patient_041_node_1,True,False,False
patient_041_node_2,True,False,False
patient_041_node_3,True,False,False
patient_042_node_1,True,False,False
patient_043_node_0,True,False,False
patient_043_node_2,True,False,False
patient_043_node_3,True,False,False
patient_043_node_4,True,False,False
patient_044_node_1,True,False,False
normal_014,True,False,False
patient_044_node_2,True,False,False
patient_045_node_2,True,False,False
patient_046_node_0,True,False,False
patient_047_node_0,True,False,False
patient_047_node_1,True,False,False
patient_047_node_3,True,False,False
patient_048_node_4,True,False,False
normal_147,True,False,False
patient_050_node_3,True,False,False
normal_021,True,False,False
patient_053_node_0,True,False,False
patient_053_node_1,True,False,False
patient_054_node_3,True,False,False
patient_055_node_4,True,False,False
patient_056_node_0,True,False,False
patient_056_node_1,True,False,False
patient_056_node_3,True,False,False
patient_057_node_4,True,False,False
patient_058_node_1,True,False,False
patient_058_node_2,True,False,False
patient_059_node_0,True,False,False
patient_059_node_3,True,False,False
patient_061_node_3,True,False,False
patient_064_node_2,True,False,False
patient_066_node_4,True,False,False
patient_067_node_0,True,False,False
patient_067_node_2,True,False,False
patient_068_node_2,True,False,False
patient_068_node_3,True,False,False
patient_070_node_0,True,False,False
patient_070_node_4,True,False,False
patient_071_node_1,True,False,False
patient_071_node_2,True,False,False
patient_073_node_2,True,False,False
patient_074_node_1,True,False,False
patient_074_node_2,True,False,False
patient_075_node_1,True,False,False
patient_077_node_1,True,False,False
patient_078_node_0,True,False,False
normal_015,True,False,False
patient_078_node_2,True,False,False
patient_078_node_3,True,False,False
patient_078_node_4,True,False,False
patient_079_node_4,True,False,False
patient_081_node_0,True,False,False
patient_081_node_3,True,False,False
normal_110,True,False,False
patient_083_node_0,True,False,False
patient_083_node_3,True,False,False
patient_083_node_4,True,False,False
patient_084_node_1,True,False,False
patient_085_node_0,True,False,False
patient_085_node_3,True,False,False
patient_086_node_1,True,False,False
patient_087_node_2,True,False,False
patient_087_node_3,True,False,False
patient_087_node_4,True,False,False
patient_088_node_0,True,False,False
normal_050,True,False,False
patient_088_node_2,True,False,False
patient_088_node_3,True,False,False
patient_089_node_2,True,False,False
patient_089_node_4,True,False,False
patient_090_node_0,True,False,False
patient_090_node_3,True,False,False
patient_091_node_0,True,False,False
patient_092_node_2,True,False,False
patient_093_node_0,True,False,False
patient_094_node_3,True,False,False
patient_098_node_0,True,False,False
patient_098_node_1,True,False,False
normal_098,True,False,False
patient_098_node_4,True,False,False
patient_099_node_1,True,False,False
patient_099_node_2,True,False,False
patient_099_node_3,True,False,False
normal_151,True,False,False
normal_123,True,False,False
normal_140,True,False,False
tumor_020,True,False,False
tumor_076,True,False,False
tumor_094,True,False,False
tumor_004,True,False,False
tumor_003,True,False,False
tumor_111,True,False,False
tumor_092,True,False,False
tumor_082,True,False,False
tumor_063,True,False,False
tumor_074,True,False,False
tumor_062,True,False,False
tumor_010,True,False,False
tumor_049,True,False,False
tumor_023,True,False,False
tumor_077,True,False,False
tumor_014,True,False,False
tumor_009,True,False,False
tumor_091,True,False,False
tumor_078,True,False,False
tumor_100,True,False,False
tumor_105,True,False,False
tumor_107,True,False,False
tumor_024,True,False,False
tumor_110,True,False,False
tumor_059,True,False,False
tumor_084,True,False,False
tumor_097,True,False,False
tumor_072,True,False,False
tumor_060,True,False,False
tumor_079,True,False,False
tumor_017,True,False,False
tumor_069,True,False,False
tumor_075,True,False,False
test_001,True,False,False
test_002,True,False,False
test_008,True,False,False
test_011,True,False,False
test_026,True,False,False
test_027,True,False,False
test_029,True,False,False
tumor_007,True,False,False
test_033,True,False,False
test_040,True,False,False
tumor_033,True,False,False
test_071,True,False,False
tumor_108,True,False,False
test_092,True,False,False
test_097,True,False,False
test_108,True,False,False
test_116,True,False,False
test_117,True,False,False
test_121,True,False,False
tumor_070,True,False,False
patient_009_node_1,True,False,False
patient_010_node_0,True,False,False
patient_010_node_4,True,False,False
patient_011_node_0,True,False,False
patient_012_node_0,True,False,False
tumor_032,True,False,False
patient_013_node_2,True,False,False
patient_014_node_2,True,False,False
patient_014_node_3,True,False,False
patient_014_node_4,True,False,False
patient_016_node_0,True,False,False
patient_019_node_0,True,False,False
patient_019_node_1,True,False,False
patient_019_node_2,True,False,False
patient_019_node_3,True,False,False
tumor_035,True,False,False
patient_020_node_2,True,False,False
patient_020_node_4,True,False,False
patient_021_node_1,True,False,False
patient_021_node_4,True,False,False
patient_022_node_0,True,False,False
patient_022_node_1,True,False,False
patient_024_node_1,True,False,False
tumor_025,True,False,False
patient_024_node_2,True,False,False
patient_024_node_4,True,False,False
patient_026_node_1,True,False,False
patient_027_node_4,True,False,False
patient_028_node_0,True,False,False
patient_028_node_1,True,False,False
tumor_005,True,False,False
patient_029_node_1,True,False,False
patient_029_node_2,True,False,False
patient_034_node_3,True,False,False
patient_036_node_3,True,False,False
patient_037_node_1,True,False,False
patient_038_node_0,True,False,False
tumor_030,True,False,False
patient_038_node_4,True,False,False
patient_039_node_1,True,False,False
tumor_053,True,False,False
patient_041_node_0,True,False,False
patient_045_node_1,True,False,False
patient_045_node_3,True,False,False
patient_046_node_4,True,False,False
patient_049_node_1,True,False,False
patient_051_node_0,True,False,False
patient_051_node_1,True,False,False
patient_051_node_2,True,False,False
patient_052_node_0,True,False,False
patient_052_node_1,True,False,False
patient_052_node_3,True,False,False
tumor_047,True,False,False
patient_062_node_1,True,False,False
patient_063_node_2,True,False,False
patient_063_node_4,True,False,False
tumor_044,True,False,False
patient_064_node_3,True,False,False
patient_067_node_4,True,False,False
patient_069_node_3,True,False,False
patient_073_node_1,True,False,False
patient_073_node_3,True,False,False
patient_076_node_2,True,False,False
patient_077_node_4,True,False,False
patient_080_node_0,True,False,False
patient_081_node_1,True,False,False
patient_081_node_2,True,False,False
tumor_051,True,False,False
patient_088_node_1,True,False,False
patient_088_node_4,True,False,False
patient_089_node_3,True,False,False
patient_091_node_2,True,False,False
patient_091_node_3,True,False,False
patient_091_node_4,True,False,False
patient_092_node_0,True,False,False
patient_092_node_4,True,False,False
patient_095_node_0,True,False,False
patient_096_node_0,True,False,False
patient_096_node_2,True,False,False
patient_096_node_3,True,False,False
patient_096_node_4,True,False,False
patient_097_node_3,True,False,False
tumor_104,True,False,False
tumor_087,True,False,False
patient_051_node_3,False,True,False
normal_029,False,True,False
normal_102,False,True,False
patient_000_node_2,False,True,False
patient_096_node_1,False,True,False
normal_020,False,True,False
normal_052,False,True,False
normal_132,False,True,False
test_060,False,True,False
patient_030_node_1,False,True,False
normal_067,False,True,False
patient_075_node_2,False,True,False
normal_054,False,True,False
normal_048,False,True,False
normal_122,False,True,False
normal_005,False,True,False
patient_048_node_2,False,True,False
patient_040_node_1,False,True,False
patient_030_node_2,False,True,False
patient_079_node_3,False,True,False
patient_006_node_1,False,True,False
patient_049_node_0,False,True,False
patient_036_node_0,False,True,False
patient_082_node_1,False,True,False
test_123,False,True,False
test_007,False,True,False
test_083,False,True,False
normal_149,False,True,False
patient_016_node_3,False,True,False
patient_065_node_1,False,True,False
patient_072_node_3,False,True,False
patient_079_node_2,False,True,False
normal_008,False,True,False
patient_071_node_4,False,True,False
normal_127,False,True,False
patient_095_node_2,False,True,False
test_085,False,True,False
normal_047,False,True,False
patient_076_node_0,False,True,False
patient_036_node_1,False,True,False
patient_022_node_2,False,True,False
normal_072,False,True,False
patient_002_node_4,False,True,False
normal_032,False,True,False
patient_011_node_3,False,True,False
normal_107,False,True,False
normal_096,False,True,False
patient_083_node_1,False,True,False
patient_071_node_3,False,True,False
test_050,False,True,False
normal_002,False,True,False
normal_121,False,True,False
test_018,False,True,False
normal_062,False,True,False
patient_086_node_3,False,True,False
test_028,False,True,False
test_056,False,True,False
patient_011_node_2,False,True,False
patient_058_node_0,False,True,False
patient_018_node_0,False,True,False
normal_158,False,True,False
patient_016_node_2,False,True,False
patient_070_node_2,False,True,False
normal_004,False,True,False
patient_000_node_4,False,True,False
patient_082_node_0,False,True,False
patient_035_node_4,False,True,False
patient_014_node_1,False,True,False
patient_054_node_1,False,True,False
normal_051,False,True,False
normal_041,False,True,False
test_019,False,True,False
test_057,False,True,False
test_125,False,True,False
patient_054_node_2,False,True,False
patient_034_node_4,False,True,False
normal_043,False,True,False
test_014,False,True,False
patient_050_node_0,False,True,False
normal_079,False,True,False
normal_087,False,True,False
normal_063,False,True,False
patient_095_node_4,False,True,False
patient_023_node_2,False,True,False
test_062,False,True,False
patient_043_node_1,False,True,False
patient_058_node_3,False,True,False
normal_071,False,True,False
normal_011,False,True,False
normal_085,False,True,False
patient_023_node_4,False,True,False
patient_082_node_3,False,True,False
