,train,val,test
0,patient_090_node_3,patient_051_node_3,patient_066_node_1
1,patient_041_node_2,normal_029,patient_023_node_1
2,patient_056_node_3,normal_102,normal_045
3,patient_071_node_1,patient_000_node_2,test_022
4,normal_012,patient_096_node_1,patient_095_node_1
5,patient_098_node_4,normal_020,normal_070
6,patient_077_node_1,normal_052,test_009
7,normal_042,normal_132,patient_082_node_2
8,test_063,test_060,normal_061
9,normal_136,patient_030_node_1,patient_085_node_2
10,patient_017_node_0,normal_067,patient_089_node_0
11,test_119,patient_075_node_2,patient_098_node_2
12,test_041,normal_054,patient_074_node_0
13,normal_015,normal_048,normal_106
14,patient_093_node_0,normal_122,normal_133
15,patient_030_node_3,normal_005,normal_077
16,patient_028_node_0,patient_048_node_2,normal_093
17,test_026,patient_040_node_1,patient_013_node_1
18,patient_024_node_4,patient_030_node_2,patient_033_node_0
19,tumor_017,patient_079_node_3,patient_057_node_0
20,tumor_069,patient_006_node_1,patient_084_node_4
21,patient_037_node_1,patient_049_node_0,test_127
22,tumor_084,patient_036_node_0,test_044
23,tumor_072,patient_082_node_1,normal_135
24,patient_097_node_3,test_123,patient_048_node_3
25,patient_038_node_0,test_007,patient_005_node_0
26,tumor_030,test_083,patient_044_node_0
27,patient_010_node_4,normal_149,patient_055_node_2
28,tumor_105,patient_016_node_3,patient_003_node_3
29,patient_096_node_3,patient_065_node_1,normal_131
30,patient_029_node_1,patient_072_node_3,normal_082
31,test_011,patient_079_node_2,patient_037_node_3
32,,normal_008,patient_077_node_0
33,,patient_071_node_4,patient_011_node_1
34,,normal_127,normal_046
35,,patient_095_node_2,patient_079_node_0
36,,test_085,patient_093_node_1
37,,normal_047,patient_060_node_2
38,,patient_076_node_0,test_120
39,,patient_036_node_1,patient_008_node_1
40,,patient_022_node_2,patient_091_node_1
41,,normal_072,normal_023
42,,patient_002_node_4,normal_153
43,,normal_032,patient_040_node_4
44,,patient_011_node_3,normal_089
45,,normal_107,patient_015_node_3
46,,normal_096,patient_050_node_1
47,,patient_083_node_1,patient_055_node_1
48,,patient_071_node_3,normal_113
49,,test_050,patient_054_node_4
50,,normal_002,normal_007
51,,normal_121,patient_083_node_2
52,,test_018,patient_046_node_2
53,,normal_062,test_036
54,,patient_086_node_3,test_118
55,,test_028,normal_126
56,,test_056,normal_009
57,,patient_011_node_2,patient_093_node_2
58,,patient_058_node_0,patient_057_node_1
59,,patient_018_node_0,patient_090_node_2
60,,normal_158,normal_095
61,,patient_016_node_2,test_081
62,,patient_070_node_2,test_070
63,,normal_004,normal_031
64,,patient_000_node_4,patient_054_node_0
65,,patient_082_node_0,patient_022_node_3
66,,patient_035_node_4,test_093
67,,patient_014_node_1,patient_006_node_0
68,,patient_054_node_1,patient_098_node_3
69,,normal_051,patient_047_node_4
70,,normal_041,patient_038_node_3
71,,test_019,normal_155
72,,test_057,patient_004_node_0
73,,test_125,patient_012_node_3
74,,patient_054_node_2,patient_037_node_2
75,,patient_034_node_4,patient_073_node_4
76,,normal_043,normal_103
77,,test_014,normal_112
78,,patient_050_node_0,patient_023_node_3
79,,normal_079,patient_085_node_4
80,,normal_087,patient_037_node_4
81,,normal_063,test_034
82,,patient_095_node_4,normal_033
83,,patient_023_node_2,patient_059_node_2
84,,test_062,patient_040_node_0
85,,patient_043_node_1,patient_003_node_0
86,,patient_058_node_3,normal_022
87,,normal_071,test_086
88,,normal_011,patient_035_node_2
89,,normal_085,patient_014_node_0
90,,patient_023_node_4,patient_008_node_4
91,,patient_082_node_3,normal_115
92,,patient_042_node_4,test_100
93,,patient_097_node_2,patient_034_node_2
94,,normal_146,normal_100
95,,patient_056_node_4,normal_124
96,,patient_039_node_4,patient_082_node_4
97,,patient_085_node_1,normal_109
98,,normal_025,test_095
99,,patient_075_node_3,patient_070_node_1
100,,patient_056_node_2,test_101
101,,test_032,patient_074_node_3
102,,patient_077_node_3,test_053
