,train,val,test
0,normal_115,test_024,normal_148
1,normal_064,patient_013_node_0,normal_015
2,normal_106,patient_088_node_2,patient_031_node_0
3,normal_145,patient_055_node_3,patient_025_node_3
4,normal_085,patient_083_node_2,normal_084
5,normal_154,patient_057_node_3,patient_090_node_4
6,normal_134,patient_036_node_1,patient_099_node_3
7,normal_117,patient_093_node_1,patient_057_node_4
8,normal_008,patient_016_node_4,patient_070_node_2
9,normal_127,patient_037_node_0,patient_058_node_2
10,normal_070,normal_073,patient_089_node_4
11,normal_041,patient_000_node_1,normal_023
12,normal_126,normal_122,patient_025_node_4
13,normal_089,test_034,normal_112
14,normal_104,normal_111,test_045
15,normal_026,patient_038_node_1,patient_066_node_0
16,normal_116,patient_007_node_1,test_050
17,normal_128,patient_040_node_1,normal_072
18,normal_059,normal_081,patient_073_node_0
19,normal_114,normal_007,test_095
20,normal_036,normal_139,normal_040
21,normal_029,patient_039_node_2,normal_043
22,normal_119,patient_085_node_4,test_093
23,normal_038,patient_040_node_4,normal_031
24,normal_062,patient_051_node_3,normal_156
25,normal_075,patient_008_node_2,patient_002_node_0
26,normal_002,patient_049_node_3,patient_014_node_1
27,normal_120,patient_030_node_1,patient_056_node_0
28,normal_042,normal_001,patient_039_node_4
29,normal_056,test_088,patient_055_node_2
30,normal_055,test_035,test_017
31,normal_090,normal_149,patient_032_node_4
32,normal_051,normal_046,patient_041_node_2
33,normal_074,normal_021,patient_001_node_3
34,normal_131,patient_011_node_3,test_023
35,normal_118,normal_049,normal_066
36,normal_037,patient_007_node_0,test_080
37,normal_144,patient_035_node_1,patient_071_node_2
38,normal_100,normal_045,patient_085_node_1
39,normal_019,patient_090_node_3,patient_099_node_0
40,normal_109,test_039,normal_153
41,normal_025,test_085,test_043
42,normal_113,patient_090_node_0,patient_068_node_3
43,normal_032,patient_084_node_4,patient_057_node_1
44,normal_068,test_089,patient_036_node_0
45,normal_069,test_127,patient_091_node_0
46,normal_060,patient_047_node_3,normal_018
47,test_005,patient_091_node_1,test_015
48,test_007,patient_064_node_1,patient_095_node_1
49,normal_124,patient_078_node_0,patient_011_node_2
50,test_014,patient_085_node_3,patient_023_node_0
51,test_018,test_096,normal_058
52,test_020,test_101,patient_050_node_1
53,normal_020,patient_081_node_3,patient_055_node_1
54,test_022,normal_087,test_083
55,test_025,patient_070_node_4,patient_043_node_3
56,normal_088,normal_102,patient_070_node_1
57,test_031,patient_025_node_0,test_112
58,test_032,patient_071_node_0,test_126
59,test_036,patient_043_node_2,normal_030
60,test_041,patient_016_node_3,patient_048_node_3
61,test_042,normal_034,patient_009_node_2
62,test_053,normal_061,normal_123
63,test_054,normal_157,patient_048_node_2
64,test_056,patient_068_node_2,normal_014
65,test_057,normal_110,patient_083_node_0
66,test_058,patient_097_node_2,normal_028
67,test_059,patient_055_node_0,test_118
68,test_060,patient_099_node_2,test_072
69,test_062,patient_074_node_2,patient_010_node_3
70,test_063,patient_025_node_1,patient_004_node_0
71,test_067,patient_053_node_3,test_047
72,test_076,normal_080,test_109
73,test_098,patient_077_node_3,test_037
74,test_100,patient_083_node_4,patient_032_node_0
75,test_106,patient_049_node_4,patient_061_node_0
76,test_111,test_130,normal_067
77,normal_093,patient_035_node_2,test_119
78,test_124,normal_017,patient_030_node_3
79,test_128,patient_059_node_2,normal_079
80,patient_000_node_0,patient_037_node_4,test_081
81,patient_000_node_2,patient_056_node_2,normal_065
82,patient_000_node_4,normal_054,patient_054_node_2
83,patient_001_node_0,normal_057,normal_078
84,patient_001_node_2,test_006,normal_044
85,patient_001_node_4,test_123,patient_086_node_2
86,patient_002_node_3,normal_097,patient_022_node_2
87,patient_002_node_4,normal_130,normal_050
88,patient_003_node_1,test_091,normal_158
89,patient_003_node_3,patient_061_node_2,patient_098_node_1
90,patient_003_node_4,patient_063_node_1,patient_002_node_2
91,normal_133,patient_093_node_2,patient_060_node_2
92,patient_004_node_3,normal_152,patient_059_node_1
93,patient_005_node_0,test_003,patient_060_node_4
94,patient_005_node_1,normal_092,patient_013_node_1
95,patient_005_node_2,patient_012_node_2,patient_016_node_2
96,patient_006_node_0,normal_108,normal_071
97,patient_007_node_2,patient_081_node_0,patient_090_node_2
98,patient_007_node_3,patient_015_node_3,normal_142
99,patient_008_node_1,normal_103,test_115
100,normal_012,patient_003_node_0,normal_096
101,patient_008_node_3,patient_045_node_2,normal_143
102,patient_008_node_4,patient_073_node_4,patient_030_node_2
103,patient_009_node_3,patient_044_node_1,normal_011
104,patient_009_node_4,patient_061_node_1,normal_053
105,patient_010_node_1,patient_067_node_1,normal_099
106,normal_048,test_055,patient_029_node_4
107,patient_011_node_1,normal_132,patient_093_node_0
108,patient_011_node_4,patient_012_node_3,patient_064_node_4
109,patient_012_node_4,normal_138,normal_052
110,patient_015_node_0,patient_012_node_1,normal_147
111,patient_017_node_0,patient_065_node_2,test_012
112,patient_018_node_0,patient_061_node_3,patient_001_node_1
113,patient_019_node_4,patient_034_node_1,test_044
114,normal_077,normal_039,patient_058_node_3
115,patient_020_node_3,patient_057_node_0,patient_010_node_2
116,patient_022_node_3,patient_021_node_2,test_028
117,patient_023_node_1,patient_047_node_1,patient_032_node_3
118,patient_023_node_2,patient_058_node_4,patient_035_node_0
119,patient_023_node_3,normal_024,test_129
120,patient_023_node_4,normal_150,patient_082_node_1
121,patient_024_node_0,patient_068_node_0,patient_038_node_3
122,patient_024_node_3,patient_070_node_0,patient_067_node_0
123,patient_027_node_1,patient_004_node_2,patient_079_node_2
124,patient_027_node_3,patient_042_node_1,patient_031_node_4
125,patient_028_node_4,normal_091,normal_098
126,patient_030_node_0,test_077,patient_077_node_1
127,patient_031_node_2,test_009,patient_040_node_0
128,patient_031_node_3,patient_049_node_0,normal_006
129,patient_032_node_2,normal_010,patient_020_node_0
130,patient_033_node_0,normal_159,patient_036_node_4
131,patient_033_node_4,patient_048_node_4,normal_136
132,patient_034_node_0,test_078,patient_082_node_0
133,patient_034_node_2,normal_047,test_019
134,patient_034_node_4,patient_055_node_4,normal_129
