,train,val,test
normal_052,True,False,False
normal_087,True,False,False
normal_045,True,False,False
normal_115,True,False,False
normal_106,True,False,False
normal_145,True,False,False
normal_085,True,False,False
normal_154,True,False,False
normal_008,True,False,False
normal_089,True,False,False
normal_065,True,False,False
normal_001,True,False,False
normal_016,True,False,False
normal_057,True,False,False
normal_150,True,False,False
normal_114,True,False,False
normal_148,True,False,False
normal_137,True,False,False
normal_062,True,False,False
normal_002,True,False,False
normal_042,True,False,False
normal_055,True,False,False
normal_035,True,False,False
normal_107,True,False,False
normal_044,True,False,False
normal_092,True,False,False
normal_118,True,False,False
normal_146,True,False,False
normal_049,True,False,False
normal_033,True,False,False
normal_144,True,False,False
normal_108,True,False,False
normal_019,True,False,False
normal_109,True,False,False
normal_084,True,False,False
normal_136,True,False,False
normal_069,True,False,False
normal_130,True,False,False
normal_060,True,False,False
test_014,True,False,False
test_015,True,False,False
test_017,True,False,False
test_018,True,False,False
test_019,True,False,False
test_022,True,False,False
test_024,True,False,False
test_025,True,False,False
test_031,True,False,False
test_032,True,False,False
test_036,True,False,False
test_037,True,False,False
test_039,True,False,False
test_041,True,False,False
test_043,True,False,False
test_047,True,False,False
test_050,True,False,False
test_053,True,False,False
test_056,True,False,False
test_057,True,False,False
test_058,True,False,False
test_059,True,False,False
test_062,True,False,False
test_070,True,False,False
test_077,True,False,False
test_078,True,False,False
test_080,True,False,False
test_085,True,False,False
test_086,True,False,False
test_087,True,False,False
test_091,True,False,False
test_093,True,False,False
normal_006,True,False,False
test_103,True,False,False
test_106,True,False,False
test_111,True,False,False
test_115,True,False,False
test_120,True,False,False
test_123,True,False,False
test_124,True,False,False
test_125,True,False,False
test_127,True,False,False
test_128,True,False,False
patient_000_node_0,True,False,False
patient_000_node_1,True,False,False
patient_000_node_2,True,False,False
patient_001_node_0,True,False,False
patient_001_node_3,True,False,False
patient_001_node_4,True,False,False
patient_002_node_1,True,False,False
normal_158,True,False,False
patient_002_node_3,True,False,False
patient_003_node_0,True,False,False
patient_003_node_4,True,False,False
normal_133,True,False,False
patient_004_node_3,True,False,False
patient_005_node_2,True,False,False
patient_006_node_0,True,False,False
patient_006_node_1,True,False,False
patient_006_node_3,True,False,False
patient_008_node_4,True,False,False
patient_009_node_2,True,False,False
patient_009_node_3,True,False,False
patient_009_node_4,True,False,False
patient_010_node_1,True,False,False
normal_048,True,False,False
patient_011_node_4,True,False,False
patient_012_node_1,True,False,False
patient_012_node_4,True,False,False
patient_014_node_1,True,False,False
patient_016_node_3,True,False,False
patient_016_node_4,True,False,False
patient_018_node_0,True,False,False
patient_021_node_2,True,False,False
normal_054,True,False,False
patient_023_node_2,True,False,False
patient_023_node_3,True,False,False
patient_023_node_4,True,False,False
patient_025_node_1,True,False,False
patient_025_node_2,True,False,False
patient_025_node_3,True,False,False
patient_025_node_4,True,False,False
patient_031_node_1,True,False,False
patient_032_node_0,True,False,False
patient_032_node_2,True,False,False
patient_034_node_0,True,False,False
patient_035_node_4,True,False,False
patient_036_node_0,True,False,False
patient_036_node_1,True,False,False
normal_028,True,False,False
patient_036_node_2,True,False,False
patient_037_node_0,True,False,False
patient_038_node_1,True,False,False
patient_039_node_3,True,False,False
patient_040_node_1,True,False,False
normal_076,True,False,False
patient_041_node_4,True,False,False
patient_042_node_4,True,False,False
patient_043_node_2,True,False,False
patient_044_node_0,True,False,False
patient_044_node_1,True,False,False
normal_014,True,False,False
patient_046_node_0,True,False,False
patient_047_node_0,True,False,False
patient_049_node_3,True,False,False
patient_050_node_2,True,False,False
patient_051_node_3,True,False,False
normal_021,True,False,False
patient_053_node_0,True,False,False
patient_053_node_3,True,False,False
patient_053_node_4,True,False,False
patient_054_node_0,True,False,False
patient_054_node_1,True,False,False
patient_054_node_3,True,False,False
patient_055_node_1,True,False,False
patient_055_node_2,True,False,False
patient_056_node_0,True,False,False
patient_056_node_1,True,False,False
patient_057_node_0,True,False,False
patient_057_node_2,True,False,False
patient_057_node_3,True,False,False
patient_058_node_0,True,False,False
patient_058_node_1,True,False,False
normal_135,True,False,False
patient_059_node_0,True,False,False
patient_059_node_3,True,False,False
patient_061_node_0,True,False,False
patient_061_node_1,True,False,False
patient_063_node_1,True,False,False
patient_064_node_1,True,False,False
patient_064_node_4,True,False,False
patient_065_node_1,True,False,False
patient_065_node_3,True,False,False
patient_066_node_0,True,False,False
patient_067_node_0,True,False,False
patient_068_node_0,True,False,False
normal_094,True,False,False
patient_068_node_2,True,False,False
patient_068_node_3,True,False,False
patient_071_node_0,True,False,False
patient_071_node_1,True,False,False
patient_071_node_2,True,False,False
patient_072_node_3,True,False,False
patient_073_node_4,True,False,False
patient_074_node_2,True,False,False
patient_075_node_0,True,False,False
patient_075_node_1,True,False,False
patient_075_node_2,True,False,False
normal_122,True,False,False
patient_077_node_1,True,False,False
patient_077_node_3,True,False,False
patient_078_node_1,True,False,False
normal_121,True,False,False
patient_082_node_2,True,False,False
patient_082_node_4,True,False,False
patient_083_node_1,True,False,False
patient_083_node_4,True,False,False
patient_084_node_1,True,False,False
patient_084_node_4,True,False,False
patient_085_node_1,True,False,False
patient_085_node_3,True,False,False
patient_086_node_1,True,False,False
patient_087_node_2,True,False,False
patient_087_node_3,True,False,False
patient_087_node_4,True,False,False
normal_050,True,False,False
patient_088_node_3,True,False,False
patient_089_node_1,True,False,False
patient_090_node_0,True,False,False
patient_090_node_2,True,False,False
patient_092_node_2,True,False,False
normal_097,True,False,False
patient_095_node_1,True,False,False
patient_095_node_2,True,False,False
patient_096_node_1,True,False,False
normal_022,True,False,False
patient_098_node_0,True,False,False
patient_098_node_1,True,False,False
normal_098,True,False,False
patient_098_node_4,True,False,False
patient_099_node_2,True,False,False
normal_067,True,False,False
normal_099,True,False,False
normal_155,True,False,False
tumor_037,True,False,False
tumor_067,True,False,False
tumor_006,True,False,False
tumor_034,True,False,False
tumor_082,True,False,False
tumor_063,True,False,False
tumor_036,True,False,False
tumor_074,True,False,False
tumor_010,True,False,False
tumor_023,True,False,False
tumor_064,True,False,False
tumor_014,True,False,False
tumor_001,True,False,False
tumor_078,True,False,False
tumor_102,True,False,False
tumor_045,True,False,False
tumor_100,True,False,False
tumor_024,True,False,False
tumor_093,True,False,False
tumor_031,True,False,False
tumor_110,True,False,False
tumor_084,True,False,False
tumor_060,True,False,False
tumor_080,True,False,False
tumor_089,True,False,False
tumor_103,True,False,False
tumor_069,True,False,False
tumor_075,True,False,False
test_001,True,False,False
test_010,True,False,False
test_013,True,False,False
test_021,True,False,False
test_026,True,False,False
test_029,True,False,False
tumor_007,True,False,False
test_046,True,False,False
test_051,True,False,False
tumor_033,True,False,False
test_061,True,False,False
test_064,True,False,False
test_065,True,False,False
test_073,True,False,False
test_074,True,False,False
test_075,True,False,False
test_082,True,False,False
test_092,True,False,False
test_099,True,False,False
test_102,True,False,False
test_104,True,False,False
test_105,True,False,False
test_108,True,False,False
tumor_015,True,False,False
test_122,True,False,False
patient_006_node_4,True,False,False
patient_009_node_1,True,False,False
patient_010_node_4,True,False,False
patient_011_node_0,True,False,False
patient_013_node_4,True,False,False
patient_014_node_2,True,False,False
patient_015_node_1,True,False,False
patient_015_node_2,True,False,False
patient_015_node_4,True,False,False
patient_016_node_1,True,False,False
tumor_050,True,False,False
patient_017_node_1,True,False,False
patient_017_node_4,True,False,False
patient_018_node_3,True,False,False
patient_018_node_4,True,False,False
patient_019_node_1,True,False,False
patient_019_node_3,True,False,False
patient_020_node_1,True,False,False
patient_021_node_4,True,False,False
patient_022_node_1,True,False,False
patient_024_node_1,True,False,False
tumor_025,True,False,False
patient_026_node_3,True,False,False
patient_027_node_0,True,False,False
patient_027_node_2,True,False,False
patient_028_node_0,True,False,False
tumor_005,True,False,False
patient_029_node_3,True,False,False
tumor_058,True,False,False
patient_036_node_3,True,False,False
patient_038_node_4,True,False,False
patient_039_node_1,True,False,False
patient_041_node_0,True,False,False
tumor_048,True,False,False
patient_044_node_3,True,False,False
patient_045_node_0,True,False,False
patient_045_node_1,True,False,False
patient_045_node_4,True,False,False
patient_046_node_3,True,False,False
patient_046_node_4,True,False,False
patient_048_node_1,True,False,False
patient_049_node_1,True,False,False
