,train,val,test
0,13526,51346,17067
1,16876,1660,6449
2,28603,13987,64824
3,25923,1952,42296
4,30203,9658,52931
5,44976,21929,30272
6,44283,15486,46543
7,52259,39880,31033
8,18014,7482,52461
9,58974,38349,42125
10,4877,57598,26219
11,3191,1943,30369
12,5970,15470,22489
13,52375,11263,60685
14,44581,4827,29615
15,54928,7955,18813
16,47105,27315,26533
17,38118,45990,15231
18,49942,56861,20205
19,52846,6359,16325
20,44962,55287,46769
21,52108,38687,24563
22,28736,58947,17291
23,35754,43796,47960
24,44700,26950,52420
25,38479,62828,48506
26,40503,63015,38669
27,2906,12442,60988
28,25604,12222,8279
29,38647,36302,40888
30,52836,53655,12902
31,53098,34822,30792
32,56843,54408,23629
33,8213,15912,59002
34,43815,14617,286
35,59031,6281,31594
36,39425,30712,17487
37,63897,55279,3222
38,5264,32042,14401
39,20312,17738,32636
40,21432,32432,53900
41,61424,51499,12522
42,45104,22740,49995
43,36639,40079,51032
44,49281,6793,50246
45,17365,59900,34690
46,14039,4608,10246
47,26603,10800,28066
48,38366,61320,50304
49,49872,45630,18138
50,38849,31383,3511
51,26862,35953,48734
52,6898,33984,30515
53,26025,56875,51215
54,52612,39269,2666
55,54473,27851,43998
56,29084,20882,26939
57,8130,47035,21232
58,34277,57711,6363
59,21303,38901,7204
60,5852,10077,7490
61,31300,14424,8531
62,65022,41368,19569
63,33839,51128,46444
64,9254,50048,63367
65,56993,55876,43280
66,49587,53859,19030
67,38019,37655,9154
68,30868,14127,36008
69,6582,1080,1295
70,4797,1289,52308
71,65094,65371,30508
72,39208,34845,970
73,56799,55281,24991
74,14312,2097,39728
75,62476,40639,26124
76,35792,58895,706
77,34508,31333,11559
78,37190,43432,39144
79,37307,17637,20463
80,,32112,3055
81,,52784,34720
82,,25792,8280
83,,18914,8805
84,,30738,47984
85,,35239,27245
86,,56221,9341
87,,39297,431
88,,17416,61852
89,,1252,54990
90,,13364,1925
91,,52438,54007
92,,52275,10642
93,,8713,10143
94,,53688,28821
95,,43875,65300
96,,47020,62641
97,,15209,61797
98,,20316,47837
99,,18981,38097
100,,35652,3881
101,,29331,38041
102,,2706,24617
103,,91,6843
104,,28121,39365
105,,41361,5992
106,,16494,38018
107,,29888,20858
108,,9697,46793
109,,6558,39172
110,,19255,24759
111,,1666,29240
112,,26644,28393
113,,61689,17854
114,,6175,5251
115,,18568,5015
116,,61280,32596
117,,14542,61033
118,,39893,50589
119,,29147,5114
120,,19512,37367
121,,1020,32035
122,,54506,38048
123,,38535,54949
124,,4211,24507
125,,27950,65533
126,,36513,64629
127,,19157,54590
128,,43390,39255
129,,48973,35592
130,,5851,34247
131,,30539,1101
132,,60287,64188
133,,15221,64111
134,,23796,281
135,,33976,61100
136,,8985,38585
137,,34688,3092
138,,13387,33708
139,,66,31793
140,,10252,37385
141,,11557,21260
142,,39466,38959
143,,41099,13568
144,,40864,3672
145,,57162,15583
146,,25256,39258
147,,9183,56500
148,,31297,57265
149,,21445,21020
150,,20329,4134
151,,47431,25331
152,,3997,5456
153,,3084,36678
154,,48550,56351
155,,56117,51893
156,,36783,23523
157,,48502,30986
158,,35565,2227
159,,39872,42260
160,,9200,28562
161,,46815,39252
