,train,val,test
0,18813,44283,43796
1,52420,52931,38669
2,1952,46769,3191
3,52461,62828,42296
4,4877,12442,7955
5,22290,36302,54928
6,44581,45725,59515
7,58974,51346,36063
8,44976,52375,17067
9,60685,4827,46543
10,38687,40888,1660
11,56861,13987,30203
12,6359,52259,39880
13,1943,40129,12222
14,26950,42857,44603
15,55287,58947,8279
16,47960,29915,31033
17,11263,17291,35197
18,15231,22489,41586
19,7482,56947,26533
20,30272,28603,16325
21,60988,6449,20205
22,64824,22155,10548
23,42549,29615,45990
24,63165,13526,32032
25,5970,57696,21929
26,30369,22425,26219
27,57598,25923,38349
28,24563,42125,25928
29,15486,27315,63289
30,48506,51499,51032
31,53377,44962,18138
32,18014,30515,11431
33,9658,49995,44232
34,61961,46444,4608
35,14051,59760,10246
36,63015,5265,53402
37,16876,50246,51679
38,15470,6281,10077
39,15742,7204,18810
40,34822,39269,40503
41,45254,56875,38118
42,61320,40079,43280
43,21373,17738,19030
44,38901,7329,55876
45,45578,24023,55279
46,53098,15671,48734
47,59900,60928,53859
48,286,61823,14424
49,12522,2906,15912
50,51128,3222,50048
51,57711,33984,32432
52,28736,17487,44700
53,22924,32636,22221
54,10469,25604,46688
55,52108,50304,49942
56,35909,60936,8531
57,35953,51215,30792
58,59002,64771,41368
59,32042,7490,21910
60,14617,63367,35754
61,2666,34690,16064
62,31383,40124,14401
63,27851,53655,6363
64,53900,52752,63836
65,15188,38647,38479
66,22740,28066,18607
67,19569,1925,39172
68,52836,27245,57468
69,20882,1666,35998
70,63121,52308,30794
71,30712,21432,48861
72,12902,63941,20463
73,52846,17416,56221
74,3511,54506,38018
75,6793,61797,3881
76,21232,39990,28121
77,26939,46736,9509
78,50962,46793,34845
79,23629,39365,35652
80,47035,64629,32112
81,54408,35239,25792
82,44804,5851,61689
83,10800,16494,38535
84,31594,39728,43432
85,45630,35592,52438
86,43998,41361,60287
87,63429,30539,1774
88,47105,50589,6558
89,1080,3055,26603
90,18981,57100,28028
91,36204,59031,10642
92,43390,17637,63298
93,34720,24991,43671
94,6951,6140,24759
95,9341,61493,1289
96,62641,18914,37367
97,17365,5251,14039
98,27747,45104,54590
99,31333,15293,14127
100,52275,5264,53059
101,29888,16209,38048
102,51832,29200,1252
103,11559,46172,48973
104,706,5992,4963
105,61280,20312,28821
106,18896,50712,39144
107,61424,52784,36008
108,50878,47837,61033
109,19157,36513,5114
110,1295,20858,47911
111,34247,27950,15221
112,50932,19255,16042
113,4211,4,29331
114,15209,20316,61089
115,25561,30508,32035
116,40639,31473,3098
117,65533,28922,65371
118,36499,431,39893
119,64111,8240,58895
120,54990,51021,1020
121,15139,44432,2097
122,28519,8713,8213
123,38097,32192,9697
124,39146,65300,91
125,53688,9154,29904
126,43875,55281,36639
127,54825,56843,16986
128,28393,61852,29147
129,54949,1101,37655
130,59589,47984,17174
131,46435,49281,20670
132,18196,15871,10143
133,32596,24507,38041
134,5015,34688,38959
135,64188,33976,26862
136,26190,33708,6898
137,8805,36583,13568
138,3264,15583,38585
139,11417,281,52612
140,27739,9183,10252
141,18568,49872,8130
142,24617,34277,57162
143,2706,56500,31300
144,64950,41099,13387
145,6175,12244,39258
146,10896,37385,3672
147,12159,25256,5852
148,27249,48550,56799
149,39425,23523,51893
150,26124,56993,47431
151,59383,56117,14532
152,39255,4134,62476
153,17854,4797,35565
154,22654,49587,48502
155,29240,35792,56351
156,63897,34508,42260
157,19512,30986,3084
158,60058,37307,65094
159,18547,39208,25331
160,41801,2227,39872
161,45185,28562,36678
162,46469,,
163,43815,,
164,6843,,
165,13364,,
166,39297,,
167,8280,,
168,34649,,
169,5307,,
170,46139,,
171,54007,,
172,14542,,
173,970,,
174,26644,,
175,47020,,
176,30738,,
177,33839,,
178,40864,,
179,65022,,
180,54473,,
181,21303,,
182,11557,,
183,61100,,
184,8985,,
185,38366,,
186,66,,
187,29084,,
188,39466,,
189,3092,,
190,38849,,
191,23796,,
192,2391,,
193,31793,,
194,26025,,
195,21260,,
196,46815,,
197,30868,,
198,38019,,
199,6582,,
200,31297,,
201,14312,,
202,57265,,
203,36783,,
204,20329,,
205,37190,,
206,5456,,
207,9254,,
208,44530,,
209,21020,,
210,21445,,
211,3997,,
212,39252,,
213,9200,,
