,train,val,test
18813,True,False,False
42857,True,False,False
56947,True,False,False
1952,True,False,False
52461,True,False,False
22290,True,False,False
46543,True,False,False
44976,True,False,False
27315,True,False,False
35197,True,False,False
26950,True,False,False
12442,True,False,False
47960,True,False,False
11263,True,False,False
28603,True,False,False
52259,True,False,False
1660,True,False,False
52375,True,False,False
25928,True,False,False
64824,True,False,False
4827,True,False,False
58947,True,False,False
54928,True,False,False
51346,True,False,False
38349,True,False,False
57598,True,False,False
15486,True,False,False
53377,True,False,False
18014,True,False,False
42296,True,False,False
8279,True,False,False
9658,True,False,False
22155,True,False,False
44283,True,False,False
61961,True,False,False
7955,True,False,False
3191,True,False,False
63015,True,False,False
16876,True,False,False
59760,True,False,False
50304,True,False,False
15671,True,False,False
45254,True,False,False
45578,True,False,False
53098,True,False,False
59900,True,False,False
286,True,False,False
12522,True,False,False
44700,True,False,False
55279,True,False,False
57711,True,False,False
28736,True,False,False
14617,True,False,False
4608,True,False,False
7490,True,False,False
63836,True,False,False
10077,True,False,False
31383,True,False,False
10246,True,False,False
27851,True,False,False
44962,True,False,False
32432,True,False,False
15188,True,False,False
22740,True,False,False
50048,True,False,False
19030,True,False,False
19569,True,False,False
60936,True,False,False
53402,True,False,False
28066,True,False,False
5265,True,False,False
40124,True,False,False
21232,True,False,False
16064,True,False,False
26939,True,False,False
49942,True,False,False
23629,True,False,False
47035,True,False,False
54408,True,False,False
31594,True,False,False
45630,True,False,False
21910,True,False,False
49995,True,False,False
53655,True,False,False
63429,True,False,False
46688,True,False,False
55876,True,False,False
33984,True,False,False
46444,True,False,False
29147,True,False,False
15293,True,False,False
19255,True,False,False
20463,True,False,False
38018,True,False,False
53059,True,False,False
36204,True,False,False
52784,True,False,False
34720,True,False,False
6951,True,False,False
32112,True,False,False
9341,True,False,False
17365,True,False,False
52275,True,False,False
29888,True,False,False
4,True,False,False
11559,True,False,False
34845,True,False,False
1252,True,False,False
18896,True,False,False
5251,True,False,False
48861,True,False,False
26603,True,False,False
50878,True,False,False
61797,True,False,False
24991,True,False,False
30539,True,False,False
19157,True,False,False
1295,True,False,False
51021,True,False,False
1289,True,False,False
